frase;localizzazione_benchmark;localizzazione_risultato;tempo_benchmark;tempo_risultato;grave_benchmark;grave_risultato;moto_benchmark;moto_risultato;utenti_deboli_benchmark;utenti_deboli_risultato
nei pressi del distributore di benzina si sono scontrate tra di loro tre auto;0;1;0;0;0;0;0;0;0;0
stando alle prime informazioni solo una persona sarebbe rimasta ferita in modo lieve e ha necessitato delle cure del 118 (pubblica di corte e automedica della cri di fidenza): a bordo dell'ambulanza è stata trasportata in ospedale a fidenza;0;1;0;0;0;1;0;1;0;0
sul posto anche i carabinieri per gli accertamenti;0;1;0;0;0;0;0;0;0;0
grave incidente stradale nella tarda mattinata di lunedì 23 gennaio a tizzano, lungo la provinciale val parma;1;1;1;0;1;0;0;1;0;0
erano da poco passate le 1240 quando, per cause in corso di accertamento, un furgone è precipitato in una scarpata mentre stava percorrendo la strada provinciale all'altezza della località capoponte in direzione reno di tizzano;1;1;1;0;1;0;0;0;0;0
momenti di paura nella mattinata di lunedì 23 gennaio lungo via resga, nel comune di montechiarugolo;1;1;1;0;0;0;0;0;0;0
uomo è rimasto incastrato all'interno dell'abitacolo, nel canale pieno d'acqua;0;0;0;0;0;1;0;0;0;0
l'allarme è scattato da subito e in pochi minuti sono arrivati sul posto i vigili del fuoco, partiti dalla caserma di via chiavari con una squadra;0;1;0;0;0;0;0;0;0;0
nella serata di sabato 21 gennaio il conducente di un'auto è rimasto ferito in seguito ad un incidente stradale in località faviano di sotto, nel comune di lesignano bagni;1;1;1;1;1;1;0;1;0;0
l'uomo, un 43enne residente in provincia di parma, è uscito di strada mentre guidava la propria automobile, cadendo in una scarpata per circa quindici metri;0;1;0;1;0;1;0;0;0;0
sul posto è stato richiesto l'intervento del soccorso alpino dell'appennino parmense;0;1;0;0;0;0;0;0;0;0
il conducente di un autoarticolato ha cercato di svoltare, mentre stava percorrendo via partigiani d’italia - all'incrocio di via fontanella, tra colorno e mezzani - ma visto che il mezzo era più grande della carreggiata, non c'è riuscito ed il rimorchio è finito nel canale, bloccando la strada e la circolazione dei veicoli;1;1;0;1;0;1;0;0;0;1
grave incidente stradale alle ore 1220 di giovedì 19 gennaio lungo strada lodesana a fidenza;1;1;1;1;1;1;0;1;0;0
per cause in corso di accertamento due auto si sono scontrate violentemente;0;0;0;0;1;0;0;0;0;0
in conseguenza dello scontro due persone - marito e moglie anziani - sono rimasti feriti con contusioni di media gravità;0;0;0;0;0;0;0;0;0;1
l'allarme è scattato da subito e sul posto sono arrivati i soccorritori dell'ambulanza infermieristica di fidenza, i vigili del fuoco e la polizia locale;0;1;0;0;0;0;0;0;0;0
si tratta di un 30enne residente in provincia di parma che sul ponte del fiume taro dopo aver abbattuto un muro di delimitazione della ss357, a seguito della fuoriuscita di strada si è allontanato nella notte;1;1;0;0;0;1;0;0;0;0
grave incidente stradale nelle prime ore della mattinata di martedì 17 gennaio;1;1;1;1;1;0;0;0;0;0
per cause in corso di accertamento un'auto e una bicicletta si sono scontrate all'altezza di via goberti a fidenza;1;1;0;0;0;0;0;0;1;0
sul posto i soccorritori del 118 e la polizia locale, che ha effettuato i rilievi previsti per legge;0;1;0;0;0;0;0;0;0;0
il ferito, che ha riportato traumi in varie parti del corpo, è stato trasportato all'ospedale di vaio di fidenza;0;0;0;0;1;1;0;0;0;1
per cause in corso di accertamento un'auto, condotta da una donna, è finita all'interno di un fosso al lato della strada;0;1;0;0;0;0;0;0;0;0
l'allarme è scattato da subito e sul posto sono arrivati i soccorritori del 118 e una squadra dei vigili del fuoco;0;1;0;0;0;0;0;0;0;0
quando gli operatori del 115 sono arrivati sul posto per cercare di liberare la conducente, la donna era già riuscita ad uscire dal veicolo, praticamente illesa;0;1;0;1;0;0;0;0;0;1
grave incidente nella serata di venerdì 13 gennaio a respiccio di fornovo;1;1;1;0;1;0;0;0;0;0
per cause in corso di accertamento un'auto è finita contro la cancellata di un'abitazione poco prima delle ore 2130;0;1;1;0;0;0;0;0;0;0
grave incidente stradale nella notte tra lunedì 9 e martedì 10 gennaio lungo l'autostrada a1, in direzione bologna;1;1;1;0;1;1;0;0;0;0
per cause in corso di accertamento, poco dopo le ore 4, un furgone e un tir si sono scontrati mentre percorrevano la corsia in direzione sud;1;1;1;0;0;0;0;0;0;0
secondo le prime informazioni l'impatto sarebbe stato particolarmente violento e il conducente del fugone sarebbe rimasto incastrato all'interno dell'abitacolo;0;1;0;0;1;0;0;1;0;0
l'uomo, dopo essere stato liberato dai vigili del fuoco di parma, intervenuti sul posto con una squadra, è stato trasportato al pronto soccorso dell'ospedale maggiore di parma;0;1;0;0;0;1;0;0;0;0
grave incidente stradale nella serata di ieri, domenica 8 gennaio, lungo la massese, tra pilastro e torrechiara, in corrispondenza della rotonda;1;1;1;0;1;1;0;0;0;0
secondo le prime informazioni, poco prima delle ore 20, tre auto si sarebbero scontrate mentre stavano percorrendo la strada;0;0;1;0;0;0;0;0;0;0
in conseguenza dello scontro due persone sarebbero rimaste ferite, fortunatamente in maniera lieve;0;0;0;0;0;1;0;0;0;1
e' probabile che la presenza della nebbia, con la scarsa visibilità lungo via langhirano, sia stata una delle cause dell'incidente;0;1;0;0;0;0;0;0;0;0
stava percorrendo l'autostada a1 da parma in direzione reggio emilia quando ad un certo punto ha accusato un lieve malore e ha perso il controllo del mezzo pesante che stava conducendo, finendo in un canale al lato della sede stradale;1;1;0;0;0;1;0;1;0;1
un camionista è stato protagonista della disavventura nel pomeriggio di sabato 7 gennaio;0;0;1;0;0;0;0;0;0;0
secondo le prime informazioni l'uomo, che si trova in buone condizioni di salute, avrebbe perso il controllo del mezzo all'improvviso;0;0;0;0;0;0;0;1;0;0
dopo l'impatto il conducente sarebbe uscito autonomamente dal mezzo: sul posto sono poi arrivati i soccorritori del 118 che hanno prestato alcune cure al camionista, accertandosi delle sue condizioni di salute;0;1;0;0;0;1;0;0;0;0
guidava ubriaco il conducente dell'auto che all'alba di sabato 7 gennaio lungo via traversetolo in località botteghino ha investito e ucciso mohamed choukry (il ricordo dei colleghi) operaio di 59 anni, di origine marocchine e residente a parma, che stava lavorando con il camion della nettezza urbana;1;1;1;0;1;1;0;0;1;1
per l'uomo, dipendente della cooperativa cigno verde, non c'è stato nulla da fare: è stato centrato in pieno dall'auto che stava sopraggiungendo, da parma in direzione traversetolo, proprio nel momento in cui mohamed si trovava in strada e si stava apprestando a risalire a bordo del camion dei rifiuti;0;1;0;0;1;1;0;0;1;0
e' indagato per omicidio stradale il conducente 36enne dell'auto che nella serata di mercoledì 28 dicembre, poco prima delle ore 20, ha tamponato l'auto a bordo della quale viaggiava tiziana sani, la 63enne morta in seguito alle gravissime ferite riportate;0;1;1;0;1;1;0;0;0;1
lo schianto violentissimo è avvenuto lungo la massese, all'altezza di torrechiara, nei pressi del prosciuttificio fumagalli;1;1;0;0;1;0;0;0;0;0
grave incidente stradale nel primo pomeriggio di lunedì 2 gennaio 2023 lungo l'autostrada a1 in direzione bologna;1;1;1;0;1;1;0;1;0;0
erano da poco passate le 1430 quando, per cause in corso di accertamento, la conducente di un'auto ha perso il controllo del mezzo che si è ribaltato;0;0;1;0;0;0;0;1;0;0
il veicolo si è cappottato ed è rimasto al centro della carreggiata;0;0;0;0;0;0;0;1;0;0
dall'omicidio di vitalie sofroni, accoltellato a morte nel parcheggio di gaione per aver cercato di difendere un'amica alla strage della via emilia - il tragico schianto del 30 ottobre in cui hanno perso la vita 4 persone, tra cui tre bambini - all'investimento e uccisione di una donna brasiliana lungo la tangenziale, fino ai quattro morti sulle strade a cavallo tra natale e capodanno;0;1;0;1;0;1;0;0;0;1
poi la morte del sindaco di soragna matteo concari, che ha avuto un malore durante una cerimonia pubblica e la morte della 21enne irene montruccoli, deceduta all'ospedale maggiore di parma per un malore improvviso;0;0;0;0;0;1;0;0;0;1
un uomo di 60 anni, originario della provincia di cosenza e residente in svizzera, è stato arrestato dai carabinieri di viadana con l'accusa di essere il conducente dell'auto pirata che ha investito e ucciso nella notte di natale tra boretto e viadana andrea lodi rizzini, il cuoco 43enne diplomato all'istituto alberghiero magnaghi di salsomaggiore terme;1;1;1;0;1;0;0;0;1;1
sarebbe una bmw serie 1 di colore bianco l'auto pirata che ha investito e ucciso andrea lodi rizzini, il cuoco diplomato all'istituto alberghiero magnaghi di salsomaggiore terme, nella notte di natale tra boretto e viadana;0;1;0;0;1;1;0;0;1;0
i carabinieri, che stanno effettuando le indagini sotto il coordinamento della procura di mantova, infatti, hanno individuato il veicolo grazie alle immagini delle telecamere in zona;0;1;0;0;0;0;0;0;0;0
gravissimo incidente nella serata di mercoledì 28 dicembre a torrechiara, poco prima delle ore 20;1;1;1;1;1;0;0;0;0;0
un tamponamento tra due auto si è trasformato in tragedia;0;0;0;0;0;1;0;0;0;0
una donna di 63 anni, tiziana sani, è deceduta nello scontro tra le vetture, mentre un 36enne, alla guida dell'altra auto, è rimasto ferito in modo non grave;0;1;0;0;1;1;0;0;0;1
nella mattinata di mercoledì 28 dicembre due auto si sono scontrate nel territorio del comune di solignano;1;1;1;0;0;0;0;0;0;0
erano da poco passate le ore 7 quando, per cause in corso di accertamento, i due veicoli sono venuti a contatto;0;0;1;0;0;0;0;0;0;0
sul posto, oltre ai soccorritori del 118, anche i vigili del fuoco e gli agenti della polizia locale, che hanno effettuato i rilievi previsti per legge;0;1;0;0;0;0;0;0;0;1
secondo le prime informazioni due persone sarebbero rimaste ferite: una avrebbe riportato traumi lievi mentre l'altra ferite di media gravità;0;0;0;0;0;1;0;0;0;0
tre morti in meno di 48 ore;0;0;0;0;1;0;0;0;0;0
e' questo il tragico bilancio degli incidenti stradali che si sono verificati a ridosso delle festività natalizie, tra il 22 e la notte tra il 23 e il 24 dicembre nel parmense;0;1;1;0;0;0;0;0;0;0
il primo incidente si è verificato alle ore 12 del 22 dicembre: un tragico scontro frontale tra due auto, che avrebbe poi coinvolto anche un terzo veicolo, ha provocato la morte dell'89enne maria teresa bardini;0;1;1;0;1;1;0;0;0;1
incidente oggi pomeriggio sulla strada pedemontana all'altezza di bannone (frazione di traversetolo);1;1;1;0;0;0;0;0;0;0
sul posto anche i vigili urbani della pedemontana;0;1;0;0;0;0;0;0;0;0
auto fuoi strada a sant'andrea di busseto, stanotte intono all'1,30;1;1;1;0;0;0;0;0;0;0
attimi di paura per i tre occupanti del veicolo, rimasti incastrati all'interno dell'abitacolo;0;0;0;0;0;1;0;0;0;1
utti hanno riportato ferite di media gravità, ricoverati all'ospedale di vaio;0;0;0;0;1;0;0;0;0;0
un incidente stradale, che si è verificato prima delle ore 10 del 22 dicembre lungo l'autostrada a1 tra i caselli di parma e terre di canossa ha provocato due chilometri di coda nel tratto interessato;1;1;1;0;0;0;0;0;0;0
nel tratto dell'a1 e lungo l'a15 in mattinata si sono verificati alcuni rallentamenti a causa della nebbia;0;1;0;0;0;0;0;0;0;0
maxi incidente lunedì mattina sulla ss336, la statale che porta all'aeroporto di malpensa;1;1;1;0;0;0;0;0;0;0
lunghe code lungo la tangenziale ovest a causa di un incidente stradale avvenuto lunedì mattina, intorno alle 7;1;1;1;1;0;0;0;1;0;0
nelle immagini diffuse dalla polizia di stato, ecco gli istanti del tragico incidente automobilistico avvenuto nella notte tra il 17 e il 18 febbraio al casello milano-ghisolfa dell'autostrada a4, costato la vita alla 54enne laura amato e l'amica, 59 anni, claudia turconi;1;1;1;1;1;1;0;0;0;1
prima l'impatto con il tir, poi le sirene dei soccorritori;0;0;0;0;1;0;0;0;0;0
ma per lei non c'è stato nulla da fare;0;0;0;0;1;0;0;0;0;0
una donna di 33 anni alla guida di un volkswagen caddy è morta in un incidente sull'autostrada a4 tra la barriera di ghisolfa e l'uscita di certosa - in direzione venezia - nella tarda mattinata di mercoledì 22 febbraio;1;1;1;0;1;1;0;0;0;1
una settimana, più o meno, in cui sarebbe però avvenuta un'escalation che lo ha portato in due ospedali diversi, in un aeroporto - senza successo - e poi al volante di quella macchina piombata come un proiettile sulla lancia ypsilon a bordo della quale si trovavano la 54enne laura amato e l'amica, 59 anni, claudia turconi;0;1;0;0;0;0;0;0;0;1
continuano le indagini sull'incidente avvenuto nella notte tra venerdì e sabato al casello di milano ghisolfa sulla a4 costato la vita alle due donne, che tornavano a casa dopo aver festeggiato il compleanno di laura, operatrice sanitaria alla clinica macedonio melloni di milano;1;1;1;0;1;1;0;0;0;1
grave incidente martedì mattina sulla milano-meda, nel tratto compreso tra l'innesto per la tangenziale nord di milano e l'uscita di paderno;1;1;1;0;1;0;0;0;0;0
È stato assolto con formula piena il macchinista dell'atm accusato di omicidio colposo per la morte di una turista coreana di 20 anni che, la sera del 10 febbraio di tre anni fa, in piazzale oberdan, era stata investita da un tram della linea 9, guidato proprio dall'imputato;1;1;1;1;1;1;0;1;0;1
tre giovani sono rimasti feriti in un incidente stradale tra la notte di lunedì e martedì lungo la strada provinciale 203, a noviglio (milano);1;1;1;1;0;0;0;0;0;1
un 41enne morto;0;0;0;0;1;0;0;0;0;0
È questo il tragico bilancio di un incidente stradale avvenuto lunedì mattina lungo la strada provinciale 192, nel territorio comunale di gravellona lomellina, nel pavese;1;1;1;1;1;1;0;1;0;0
la 60enne viaggiava insieme a laura amato, 54 anni, tornava da una festa organizzata per celebrare il compleanno dell'amica, morta con lei;0;0;0;0;1;0;0;0;0;0
grave incidente stradale sabato pomeriggio in pieno centro a milano, dove una ragazza di 20 anni, di origini asiatiche, è stata investita da un tram di atm;1;1;1;1;1;1;0;0;1;0
per cause ancora in corso di accertamento, verso le 1340, la giovane è finita sotto un mezzo della linea 3;0;0;1;0;0;0;0;0;0;0
tragico incidente stradale nella notte tra venerdì e sabato a milano, costato la vita a due donne di 54 anni (laura amato, chi era) e 60 anni;1;1;1;0;1;1;0;0;0;0
un uomo di 65 anni è in ospedale dopo essere stato trascinato da un tir lungo la tangenziale est di milano, venerdì mattina;1;1;1;0;1;1;0;0;0;1
È successo verso le otto meno venti nel tratto fra il raccordo con l'autostrada a1 a san donato milanese e l'uscita della paullese, in direzione nord;1;1;1;0;0;0;0;0;0;0
un'auto sui binari, a seveso;1;0;0;0;0;0;0;0;0;0
È accaduto nel tardo pomeriggio di giovedì 16 febbraio quando una nissan con al volante una donna di 41 anni è finita sui binari ferroviari dopo che la guidatrice ha perso il controllo del mezzo;0;1;1;1;0;1;0;0;0;1
la vettura ha sfondato le barriere di protezione, e si è fermata in mezzo all'area di circolazione dei convogli;0;1;0;0;0;0;0;1;0;0
tragico incidente stradale a ozzero, nella città metropolitana di milano, giovedì 16 febbraio;1;1;1;1;1;0;0;1;0;0
un motociclista di 18 anni è rimasto gravemente ferito dopo un incidente stradale a milano;1;1;0;0;1;1;1;1;0;1
lo schianto è avvenuto poco prima delle 19 di mercoledì tra via bisceglie e via ferruccio parri;1;1;1;0;0;0;0;0;0;0
stando a una prima ricostruzione, la motocicletta, dopo lo scontro, è andata a sbattere contro un palo e si è incendiata;0;1;0;0;0;0;1;1;0;0
incidente si è verificato pochi minuti prima delle 12 di venerdì;0;0;1;0;0;0;0;0;0;0
un anziano - circa 80 anni - è stato travolto da un'auto in via adua a cernusco sul naviglio (milano);1;1;0;0;0;1;0;0;1;1
l'incidente, quando erano passate da poco le 830 di venerdì, ha provocato il blocco del traffico in zona;0;1;1;1;0;0;0;0;0;0
un motociclista che si schianta contro un muro, e poi finisce a terra privo di sensi;0;0;0;0;0;1;1;1;0;0
l'arrivo delle ambulanze, il massaggio cardiaco sul posto e la corsa verso il vicino policlinico;0;0;0;0;1;0;0;0;0;0
traffico in tilt nella mattinata di martedì 8 febbraio sull'autostrada a8 milano-varese (direzione milano) a causa di un incidente avvenuto intorno alle 7 nei pressi della barriera di milano nord;1;1;1;1;0;0;0;0;0;1
grave incidente lungo la strada statale dei giovi, poco dopo 1240 di lunedì 6 febbraio, all'uscita 11-10 cesano seveso seregno;1;1;1;1;1;1;0;1;0;0
un ragazzo privo di sensi lungo la via emilia;1;0;0;0;0;1;0;0;0;0
grave: tanto che il personale del 118 deve intubarlo sul posto prima di trasportarlo d'urgenza all'ospedale;0;0;0;0;1;1;0;1;0;0
non è ancora chiaro il motivo ma con molta probabilità è stato travolto da un cosiddetto pirata della strada;0;0;0;0;0;0;0;1;1;0
l'auto che sbanda più volte, l'impatto con il guardrail - devastante - e il volo nel vuoto di sette, otto metri;0;0;0;0;0;1;0;0;0;0
È morto così, in un tragico incidente d'auto nel weekend, bryan franchini, 26enne di magnago, nel milanese;0;1;0;0;1;1;0;0;0;0
brutto investimento, domenica notte, lungo viale forlanini a milano;1;0;1;0;1;0;0;0;1;0
È successo intorno alle cinque meno venti sulla carreggiata in direzione centro città;0;1;1;1;0;0;0;0;0;0
un ragazzo di 25 anni è stato travolto da un'auto che transitava lungo il viale e ora rischia la vita;0;1;0;0;1;1;0;0;1;0
un uomo di 63 anni è in serie condizioni in ospedale dopo essere stato investito da un'auto;0;0;0;0;0;1;0;0;1;1
grave incidente stradale, sabato notte, nella città metropolitana di milano;1;1;1;0;1;1;0;0;0;0
