articolo_id;frase;localizzazione;grave
20;L'incidente è avvenuto poco prima delle ore 10: la strada è stata chiusa per consentire le operazioni di soccorso e i rilievi Grave incidente stradale nella mattinata di lunedì 19 dicembre in strada Baganzola a Parma, tra viale delle Esposizioni e strada Parma Rotta.;1;1
21;Carabinieri e Polizia Locale per evitare le stragi gli incidenti stradali Nella notte tra il 16 e 17 dicembre, i Carabinieri della Stazione di Sorbolo Mezzani, unitamente al personale della Polizia Locale, sono stati impegnati in un servizio straordinario di controllo del territorio al fine di prevenire le cosiddette “stragi del sabato sera”.;1;0
22;L'incidente è avvenuto nella zona di via Europa: in quel momento stava piovendo e l'asfalto era bagnato Paura nella serata di giovedì 15 dicembre in via Bettoli a Parma, nella zona di via Europa.;1;1
23;L'incidente è avvenuto all'altezza del chilometro 92 Nord Un grave incidente stradale, che ha coinvolto due auto, si è verificato nella notte tra lunedì 12 e martedì 13 dicembre lungo l'autostrada A1, all'altezza del chilometro 92 in direzione Nord.;1;1
24;L'incidente è avvenuto poco prima delle ore 12 Due auto si sono scontrate nella tarda mattinata di martedì 13 dicembre in via Calabria a Parma, nel quartiere San Leonardo.;1;0
25;L'incidente è avvenuto poco dopo le ore 7 Grave incidente stradale nella mattinata di lunedì 12 dicembre a Rubbiano, nel comune di Solignano.;1;1
26;L'incidente è avvenuto all'una e mezza della notte tra l'11 e il 12 dicembre Paura nella notte a Traversetolo per il conducente di un'auto che, dopo aver investito alcuni cinghiali, che stava attraversando la strada, ha sterzato perdendo il controllo del veicolo, che è finito fuori strada.;1;1
27;L'incidente si è verificato stamattina Paura a Traversetolo stamattina per uno scontro frontale tra due auto, all'altezza del supermercato Famila.;1;0
28;Positivo all'alcoltest anche chi era alla guida dell’auto tamponata I carabinieri intimano a un'auto di fermarsi per un controllo a un posto di blocco e l'auto che procedeva dietro tampona proprio quella davanti, che stava per fermarsi.;1;1
29;Non si sa ancora perché l'uomo si trovasse alle 7 di mattina nei pressi dell'uscita di via Venezia Non si ancora perchè il giovane 29enne di origine straniera -investitoda un'auto che stava percorrendo in quel momento la tangenziale Nord - si trovasse alle 7 di mattina di venerdì 9 dicembre nei pressi dell'uscita di via Venezia a piedi.;1;1
30;L'incidente è avvenuto poco dopo le ore 7.15 all'altezza dell'uscita di via Venezia Gravissimo incidente stradale nelle prime ore della mattinata di venerdì 9 dicembre.;1;1
31;L'incidente si è verificato stamattina intorno alle 9 Incidente stamattina intorno alle 9 in tangenziale, all'altezza di Baganzola: due i feriti ricoverati in ospedale.;1;1
32;Code e rallentamenti sul tratto interessato dall’incidente, avvenuto stamattina intorno alle 8 Frontale tra due auto stamattina intorno alle 8 in strada Argini, in un tratto compreso tra Molino di Malandriano e Porporano.;1;0
33;L'incidente si è verificato alle ore 6.40: rallentamenti in direzione Bologna fino al bivio per l'A15 Parma-La Spezia.;1;1
34;L'incidente si è verificato all'altezza del chilometro 91 in direzione Milano.;1;1
35;La tragedia nella tarda mattinata di domenica 4 dicembre Tragedia nella mattinata di domenica 4 dicembre lungo l'autostrada A1, in corrispondenza del chilometro 98 Sud all'altezza di Fontanellato.;1;1
36;L'incidente si è verificato prima delle ore 22 del 3 dicembre Grave incidente stradale nella serata di sabato 3 dicembre a Busseto, lungo la strada provinciale 94.;1;1
37;L'incidente si è verificato poco dopo l'una e mezza all'altezza di Fornovo: sul posto ambulanza e vigili del fuoco Paura nella notte lungo l'autostrada A15, all'altezza del casello di Fornovo.;1;1
38;L'incidente si è verificato all'incrocio tra via del Donatore e Silvio Pellico Grave incidente stradale in pieno centro a Sorbolo, all'incrocio tra via del Donatore e Silvio Pellico.;1;1
39;L'incidente si è verificato nel tardo pomeriggio del 1 dicembre: sul posto ambulanza, automedica e vigili del fuoco Grave incidente stradale nel tardo pomeriggio di giovedi 1° dicembre a Cascinapiano, lungo la strada Massese in direzione Langhirano.;1;1
40;Le persone all'interno del mezzo sono riuscite a scendere prima che si sviluppasse il rogo: code di 11 chilometri in direzione Milano, rallentamenti per curiosi in direzione Bologna Momenti di paura nelle prime ore della mattinata di giovedì 1° dicembre lungo l'autostrada A1, all'altezza del chilometro 114 in direzione Bologna, per un incidente stradale che ha coinvolto due veicoli - un'Audi RS6 - e un mezzo pesante.;1;1
41;L'incidente è avvenuto alle 4 all'altezza di Fontanellato: uno dei passeggeri è stato trasportato nel reparto di Rianimazione: sul posto i soccorritori con le ambulanze e i vigili del fuoco.;1;1
42;Schianto in viale Europa stanotte poco dopo l'una.;1;1
43;L'incidente è avvenuto verso le ore 5: sul posto i soccorritori del 118 e i vigili del fuoco Grave incidente stradale nella notte tra giovedì 24 e venerdì 25 novembre.;1;1
44;Il Comune di Parma è impegnato da tempo per migliorare la qualità della vita dei suoi concittadini attraverso l’istituzione delle “Zone 30”, un scelta portata avanti con buoni risultati anche in Europa, in zone residenziali e in quelle con un elevato numero di pedoni e ciclisti.;1;0
45;Due militari e due infermieri del 118 sono stati trasportati al pronto soccorso con numerose contusioni Tragedia sfiorata nella serata del 22 novembre a Ponteghiara, all'altezza del semaforo all'ingresso della frazione di Salsomaggiore.;1;1
46;Il conducente è stato trasportato con l'elisoccorso Grave incidente stradale nelle prime ore del pomeriggio di domenica 20 novembre a Fossa di Roccabianca.;1;1
47;L'incidente è avvenuto poco dopo le ore 8 all'altezza del chilometro 93 Nord tra Fidenza e il bivio per l'A15: coda di 2 chilometri in aumento Grave incidente stradale poco dopo le ore 8 di domenica 20 novembre lungo l'autostrada A1.;1;1
48;L'incidente si è verificato dopo le ore 17.30: sul posto i soccorritori del 118 e i vigili del fuoco Grave incidente stradale nel tardo pomeriggio di sabato 19 novembre lungo la strada Asolana, a Pizzolese, non lontano dall'uscita verso San Polo Torrile.;1;1
49;Il sinistro all'altezza dell'uscita di strada Vallazza, in direzione Parma.;1;0
50;"L'allerta della polizia locale: ""Questi farabutti cercano di impaurire i cittadini per trovare poi il modo di farsi dare soldi o entrare in casa"" E' allarme truffa tra Busseto e Soragna.";1;0
51;La famiglia ha deciso, come avrebbe voluto il 24enne, per la donazione degli organi Si terranno domani, sabato 19 novembre alle ore 16 nella cattedrale di Foggia, i funerali di Gianpaolo amato, il giovane 14ennemortolunedì 14 novembre nel reparto di Rianimazione all'Ospedale Maggiore di Parma dopo il terribile incidente stradale in A1, avvenuto all'alba del giorno prima, domenica 13 novembre.;1;1
52;Ardian e Anjeza Hyseni, tornati a Durazzo, accolgono con favore la decisione del Pm di affidare una perizia sull’incidente che ha distrutto la loro famiglia Sanno bene chenulla potrà mai riportare indietro la loro famiglia, ma vogliono almenocapire, sapere cosa sia esattamente successo quella maledetta sera.Ardian Hyseni, 46 anni, e la moglieAnjeza, 42, in un secondo hanno perso quasi tutto:tre dei loro quattro figli, la maggiore,Shane,22 anni,Resat, 11, e Rejana, 9, e ilnipotino Mattias, figlio di Shane, diappena un anno e quattro mesi.;1;1
53;Sul posto il 118 e gli agenti della polizia locale Scontro tra auto in via Emilio Lepido: tre macchine si sono scontrate per cause in corso di accertamento.;1;0
54;L'incidente è avvenuto verso le ore 9.30 in località Cabriolo: sul posto l'ambulanza di Fidenza e i vigili del fuoco Grave incidente stradale nella mattinata di oggi, mercoledì 16 novembre, verso le ore 9.30.;1;1
55;L'incidente è avvenuto alle ore 6 all'incrocio con via Pasubio Uno scontro tra auto e monopattino, avvenuto poco dopo le ore 6 di mercoledì 16 novembre, ha provocato il ferimento della persona che si trovava a bordo del mezzo a due ruote.;1;1
56;L'incidente è avvenuto dopo l'una di stanotte: sul posto i sanitari del 118 e i vigili del fuoco Grave incidente stradale nella notte tra martedì 15 e mercoledì 16 novembre lungo strada Fondovalle nel terriitorio del comune di Valmozzola.;1;1
57;A Parma, in via Mantova, una persona su un monopattino è caduta finendo in ospedale Tragedia sfiorata in serata, intorno alle 19,30, in strada Torrione, a Neviano degli Arduini.;1;1
58;Rallentamenti tra le uscite di via Traversetolo e di via Montanara Tamponamento a catena tra più veicoli nella mattinata di oggi, martedì 15 novembre, verso le ore 8 lungo la tangenziale Sud in direzione Piacenza.;1;0
59;Il 24enne era stato assunto da poco da un'azienda di Parma e viveva nella nostra città, lascia una sorella e i genitori Gianpaolo Damato èmortoall'ospedale di Parma dopo essere stato coinvolto in un gravissimoincidentestradale lungo l'autostrada A1 nelle prime ore della mattinata di domenica 13 novembre.;1;1
60;Non ce l'ha fatta Gianpaolo Damato, il giovane coinvolto nell'incidente di domenica mattina in A1 all'altezza di Parma Non ce l'ha fatta Gianpaolo Damato, il giovane di 24 anni coinvolto nell'incidentelungo l'autostrada A1 nei pressi del casello di Parma in località Beneceto e poi ricoverato in condizioni critiche nel reparto di Rianimazione dell'Ospedale Maggiore di Parma.;1;1
61;L'incidente si è verificato alle 5 di mattina, tutti i ragazzi sono residenti a Parma: uno di loro lotta per la vita Grave incidente stradale nella notte lungo l'autostrada A1 in direzione Milano, vicino al casello di Parma all'altezza del chilometro 116 Nord in località Beneceto.;1;1
62;L'incidente si è verificato dopo le ore 23 del 12 novembre: la vittima è Amine Abdouh Gravissimo incidente stradale lungo la via Emilia poco dopo Fidenza, all'altezza di Parola di Fontanellato.;1;1
63;Numerose pattuglie, distribuite sul territorio nell’arco delle 24 ore, hanno vigilato i quartieri densamente popolati, i parchi cittadini, gli scali ferroviari, i centri commerciali, i caselli autostradali e le principali arterie stradali.;1;1
64;Rallentamenti al traffico anche tra via Buffolara e via Savani Un incidente stradale si è verificato nella mattinata di mercoledì 9 novembre lungo la tangenziale Nord in direzione Fidenza.;1;0
65;L'incidente è avvenuto poco dopo le ore 23 Grave incidente stradale nella serata dell'8 novembre a Sorbolo, lungo via Mantova.;1;1
66;Rispetto all'anno scorso, meno pedoni investiti e meno velocipedi coinvolti nei sinistri Rappresenta una piaga difficile da sanare quella relativa agli incidenti stradali che si verificano a Parma e provincia in maniera abbastanza frequente.;1;0
67;Nel 2020 era finito in manette per spaccio, l'anno dopo per non aver rispettato l'ordine di espulsione Orjol Lame, il conducente della Fiat Stilo che si èschiantatacontro il muro di un'abitazione lungo la via Emilia, ora indagato peromicidio stradalepoiché si trovava alla guidaubriaco e drogatoal momento dell'incidente era già stato arrestato due volte nel corso degli ultimi due anni.;1;1
68;I corpi dei parmigiani Rejana e Resat Hyseni, di 8 e 11 anni, della sorella 22enne Shane Hyseni e di suo figlio Mattias Lame di un anno e quattro mesi torneranno nel paese d'origine della famiglia: stamattina il trasferimento da Coviolo, dove è stata allestita la camera ardente, a Bari Le salme delle quattro vittime del gravissimoincidente stradaleavvenuto la sera di domenica 30 ottobre lungo la via Emilia, verranno trasferite, nella mattinata di oggi 3 novembre da Coviolo a Bari, per poi arrivare con un traghetto fino a Durazzo, in Albania.;1;1
69;Le analisi effettuate all'ospedale Santa Maria Nuova di Reggio Emilia, dove il giovane Orjol Lame è ricoverato in condizioni critiche hanno riscontrato diverse sostanze stupefacenti e alcool nel sangue È risultatopositivoagli esami tossicologici Orjol Lame, il 32enne alla guida dell'auto che domenica sera si èschiantatacontro un rustico disabitato sulla via Emilia, fra Villa Gaida e Cadè, a Reggio Emilia.;1;1
70;Il 32enne Orjol Lame, compagno di Shane e papà di Mattias alla guida della Fiat Stilo, è ancora in Rianimazione: disposti gli esami tossicologici e controlli sul veicolo Dopo il terribileincidentein via Emilia a Cade' che domenica 30 ottobre ha stroncato la vita di quattro persone -Rejana e ResatHyseni, di 8 e 11 anni, Shane HysenieMattias Lame, figlio di Shane di un anno e quattro mesi - la Procura della Repubblica di Reggio Emilia ha aperto un fascicolo con l'ipotesi di reato di omicidio stradale.;1;1
71;L'incidente è avvenuto alle ore 19.30 del 1 novembre Grave incidente stradale nel tardo pomeriggio del 1° novembre in via Matteotti a Salsomaggiore Terme.;1;1
72;Gli insegnanti, i compagni di classe, gli amici da ieri 31 ottobre fanno visita ad Ardian e Anjeza Hyseni, marito e moglie di origine albanese che nel terribileincidente stradalelungo la via Emilia a Cadè, avvenuto alle ore 20 di domenica 30 ottobre, hanno perso tre figli,Rejana e Resatdi 8 e 11 anni e la figlia Shane di 22 anni, oltre al nipote di un anno e 4 mesi, Mattias, figlio di Shane.;1;1
73;L'incidente si è verificato verso le ore 7: sul posto ambulanza e automedica Grave incidente stradale nelle prime ore della mattinata di lunedì 31 ottobre a Sissa, lungo via Don Minzoni.;1;1
74;Rejana e Resat Hyseni vivevano nella nostra città con i genitori e frequentavano l'Istituto Comprensivo Albertelli-Newton: ieri sera erano andati a cena con la sorella 22enne Shane Hyseni, morta nell'incidente insieme al figlio di un 1 anno e mezzo Mattias Lame I due fratellini di 11 e 8 anni, Rejana e Resat Hyseni, morti ieri sera nel tragicoincidente stradalelungo la via Emilia a Cadè, erano di Parma.;1;1
75;"I residenti tra San Prospero e Il Moro denunciano da anni le condizioni di scarsa sicurezza: ""E' una strada di incidenti e morte"".";1;1
76;L'incidente è avvenuto a Cade': un 30enne è gravissimo in ospedale.;1;1
77;Gianfranco Guarnieri non ce l'ha fatta Non ce l'ha fatta Gianfranco Guarnieri, il 70enne residente al confine tra i comuni di Lugagnano Val D’Arda e Vernasca, in provincia di Piacenza, che nel pomeriggio di giovedì 27 ottobre è rimasto coinvolto in un gravissimoincidentestradale a Salsominore, nel comune di Salsomaggiore Terme.;1;1
78;L'incidente si è verificato poco dopo le ore 5 in via Matteotti Paura nella notte tra venerdì 28 e sabato 29 ottobre a Noceto.;1;1
79;L'incidente a pochi metri dal centro storico Auto contro moto alle 19,30 in via San Rocco a Colorno a pochi metri dal centro storico.;1;0
80;L'incidente è avvenuto a Salsominore: il conducente è stato stabilizzato ed intubato sul posto dal personale dell'automedica di Fidenza Gravissimo incidente nel tardo pomeriggio di giovedì 27 ottobre a Salsomaggiore Terme: intorno alle 17:30, nella frazione di Salsominore, uno scooter ha urtato un cinghiale.;1;1
81;L'incidente si è verificato alle ore 9 tra via Torrente Vecchio e via Ponte Alto Grave incidente stradale nella mattinata di giovedì 27 novembre a Noceto, tra via Torrente Vecchio e via Ponte Alto.;1;1
82;"I dipendenti di Sma Serbatoi e Carbognani: ""Chiediamo aiuto al Comune: ogni mattina arriviamo in autobus e dobbiamo attraversare via Emilio Lepido in un tratto molto pericoloso"" Dopol'investimentodi un operaio di 41 anni nella mattinata del 26 ottobre a San Prospero, che si trova ancora ricoverato presso il reparto di Ortopedia dell'Ospedale Maggiore di Parma con una prognosi di oltre 30 giorni, i lavoratori della Sma Serbatoi di San Prospero e di Carbognani denunciano la situazione di elevata pericolisità di quel tratto di strada, soprattutto per la mancanza di illuminazione e di strisce pedonali.";1;1
83;L'incidente stamattina intorno alle 7 Pedone investito stamattina poco prima delle 7 a San Prospero mentre attraversava la strada.;1;1
84;L'incidente è avvenuto alle ore 8 del 25 ottobre: ferita lievemente anche una passeggera che si trovava a bordo del mezzo Momenti di paura nella mattinata di oggi, martedì 25 ottobre, per una donna investita da un autobus mentre si trovava in viale Toschi a Parma.;1;1
85;L'incidente è avvenuto a mezzanotte Qualche minuto prima di mezzanotte un'auto e una moto si sono scontrate mentre percorrevano strada Buffolara a Parma.;1;1
86;L'incidente si è verificato poco prima di mezzanotte Grave incidente stradale nella notte tra lunedì 24 e martedì 25 ottobre.;1;1
87;L'incidente si è verificato oggi pomeriggio Frontale oggi pomeriggio a Busseto, intorno alle 15,30, sulla strada che da Alseno porta nel comune del Parmense: due auto si sono scontrate causando il ferimento di due donne (a bordo della stessa auto), una delle quali è rimasta incastrata.;1;1
88;Rallentamenti al traffico in corrispondenza dell'uscita di strada Argini Nella serata di giovedì 20 ottobre si è verificato un incidente lungo la tangenziale Sud, all'altezza dell'uscita di strada Argini.;1;0
89;Incidente sulla rampa d'ingresso della tangenziale, in via Spezia direzione nord Spettacolare incidente in Via Spezia nella mattinata di oggi, giovedì 20 ottobre.;1;0
90;Incidente in via 4 novembre Brutto incidente a Fidenza nel pomeriggio di oggi, 19 ottobre.;1;1
91;L'incidente è avvenuto poco dopo le 8.30 Grave incidente stradale nella mattinata di martedì 18 ottobre.;1;1
92;Sui documenti di identità il suo nome era ancora Sabino Da Silva Marciliano ma la 35enne brasiliana, investita e uccisa da un'auto sabato sera, aveva intrapreso un percorso di transizione: alle spalle un passato di violenza e dipendenze E' ancora giallo sulla morte della 35enne brasiliana transessuale - il cui nome sui documenti di identità era ancora Sabino Da Silva Marciliano ma che aveva intrapreso un percorso di transizione dal genere maschile e quello femminile -investita ed uccisasabato 15 ottobre lungo la tangenziale Sud di Parma da un'auto poco prima dell'uscita di strada Argini.;1;1
93;L'incidente è avvenuto verso le ore 13 all'incrocio tra via XIV Maggio e via Borghesi Verso le ore 13 di lunedì 17 ottobre si è verificato un incidente stradale in centro a Fidenza, all'incrocio tra via XIV Maggio e via Borghesi.;1;1
94;La donna di 33 anni che era in auto con lui ha riportato solo ferite lievi Grave incidente stradale nel tardo pomeriggio di domenica 16 ottobre lungo la provinciale tra Bardi e Bore.;1;1
95;L'incidente è avvenuto poco dopo le 9.30 del 17 ottobre Un ciclista, il secondo della giornata, è stato travolto da un'auto mentre stava percorrendo via Traversetolo a Parma.;1;1
96;Una delle ipotesi è che la donna, ospite di una struttura assistenziale del Comune, si trovasse in quel punto molto pericoloso perché stava fuggendo da qualcuno ma i contorni della vicenda sono ancora poco nitidi La 35enne brasiliana,travolta e uccisada un'auto lungo la tangenziale Sud a Parma la sera di sabato 15 ottobre stava probabilmente attraversando la strada di corsa.;1;1
97;L'incidente è avvenuto poco dopo le ore 8 Grave incidente nella mattinata di oggi, lunedì 17 ottobre, in pieno centro.;1;1
98;La dinamica esatta dell'incidente, avvenuto poco prima delle 21.30 del 15 ottobre, è ancora in corso di ricostruzione: non sono ancora chiare le ragioni per le quali la 35enne brasiliana si trovasse in quel punto Si chiariscono i contorni del tragicoincidenteavvenuto poco prima delle ore 21.30 del 15 ottobre lungo la tangenziale Sud di Parma, poco prima dell'uscita di strada Argini.;1;1
99;L'incidente si è verificato alle 8 del 14 ottobre nei pressi di Fornovo Grave incidente stradale nella mattinata di oggi, venerdì 14 ottobre, lungo l'autostrada A15 nei pressi del casello di Fornovo.;1;1
100;S'indaga su una mancata precedenza Brutto incidente oggi pomeriggio, 12 ottobre, in via Emilio Lepido, nei pressi di Pittarello.;1;1
101;L'incidente è avvenuto all'altezza del chilometro 108 in direzione Milano Grave incidente stradale nella notte tra martedì 11 e mercoledì 12 ottobre lungo l'autostrada A1, all'altezza del chilometro 108 Nord, in direzione Milano.;1;1
102;Loris Magro è deceduto sul colpo dopo aver perso il controllo della sua moto lungo la strada di Roncole Verdi Ha perso il controllo della suamotoin curva lungo la strada che da Roncole Verdi porta a Busseto.;1;1
103;Sul posto ambulanza e vigili del fuoco: il conducente ha riportato solo ferite lievi Paura nella notte a Cella, frazione del comune di Noceto.;1;1
104;L'incidente è avvenuto nella serata del 9 ottobre dopo le ore 22.30 Grave incidente stradale nella tarda serata di domenica 9 ottobre a Parma, all'incrocio tra via Sassari e Via Cagliari, nel quartiere San Leonardo.;1;1
105;L'episodio è avvenuto poco dopo le ore 11: i tre feriti sono gravi Grande paura in piazzale Caduti del Lavoro nella mattinata di venerdì 7 ottobre.;1;1
106;L'incidente è avvenuto poco dopo le ore 7 del 4 ottobre: sul posto ambulanze e vigili del fuoco Grave incidente stradale nelle prime ore della mattinata di oggi, martedì 4 ottobre, a San Quirico, nel comune di Trecasali.;1;1
107;L'incidente è avvenuto alle 6.30 del 3 ottobre Grave incidente stradale nelle prime ore della mattinata di lunedì 3 ottobre a Fidenza, in via XXIV Maggio.;1;1
108;La scorsa notte i carabinieri della Stazione di Sorbolo, militari della Compagnia carabinieri di Parma e la polizia locale – Unione Bassa Est Parmense sono stati impegnati in un servizio straordinario di controllo del territorio in particolare per prevenire gli incidenti stradali Cinque persone alla guida con tasso alcolemico superiore a quello consentito (0.5 g/l).;1;1
109;L'incidente si è verificato intorno alle 8,30 Pedone investito da un'auto mentre attraversava la strada stamattina intorno alle 8,30 a Traversetolo.;1;1
111;Alle 10 la circolazione nel tratto compreso tra Reggio Emilia e Terre di Canossa-Campegine verso Milano è ripresa: il mezzo pesante ha occupato la corsia di sorpasso in direzione Bologna Grave incidente stradale nella mattinata del 28 settembre lungo l'autostrada A1, tra Parma e Reggio Emilia in direzione Milano.;1;1
112;Nottata di incidenti in città Incidente ieri sera intorno alle 22 in strada Marconi: due auto si sono scontrate, il bilancio è stato di due feriti.;1;1
113;L'incendio si è verificato alle ore 9.30: traffico in tilt anche in direzione Bologna per alcuni curiosi Poco prima delle ore 9.30 di mercoledì 21 settembre un autocarro ha preso fuoco mentre stava percorrendo l'autostrada A1, vicino al bivio per l'A15 Parma- La Spezia in direzione Milano.;1;1
114;L'incidente si è verificato poco prima delle ore 5 in località Chiastrone: sul posto le ambulanze, l'automedica e i vigili del fuoco Pauroso schianto frontale tra due auto nella notte tra martedì 20 e mercoledì 21 settembre in località Cattabiano Chiastrone, frazione del comune di Langhirano.;1;1
115;Il conducente non si è fermato a soccorrere il motociclista ferito, trasportato al Maggiore in gravi condizioni Ha travolto uno scooter in via Traversetolo a Parma e non si è fermato a soccorrere il motociclista ferito.;1;1
116;L'incidente è avvenuto nel pomeriggio del 18 settembre Grave incidente stradale nel pomeriggio di domenica 18 settembre in località Poggio di Berceto.;1;1
117;E in strada di Gainago si cappotta un'altra macchina: la conducente è rimasta illesa Due auto ribaltate in due diversi incidenti.;1;1
118;Sul posto sono arrivati i soccorritori della Pubblica Assistenza di Parma che lo hanno soccorso e poi trasportato al pronto soccorso dell'Ospedale Maggiore.;1;1
119;L'incidente si è verificato poco prima delle ore 10 in via Mingardi Grave incidente stradale nella mattinata di oggi, giovedì 15 settembre, in via Mingardi a Sissa Trecasali.;1;1
120;L'incidente si è verificato alle ore 6 all'altezza del civico 14 Grave incidente stradale alle 6 della mattinata di oggi, giovedì 15 settembre.;1;1
121;L'incidente è avvenuto prima delle ore 7 di giovedì 15 settembre Paura nelle prime ore della mattinata di oggi, giovedì 15 settembre, a Citerna di Taro, frazione del comune di Fornovo Taro.;1;1
122;A Parma, in via Spezia, uno scooter ha preso fuoco, per cause in corso di accertamento.;1;0
123;Trasportato nell'area codici rossi dell'ospedale È stato trasportato in gravissime condizioni all'ospedale Maggiore di Parma un 37enne che, intorno alle 19.30 di martedì 13 settembre, è caduto con il suo scooter in viale Fidenza a Tabiano di Salsomaggiore.;1;1
124;L'incidente è avvenuto verso le ore 8 in corrispondenza della rotatoria della tangenziale Un grave incidente stradale si è verificato nelle prime ore della mattinata di oggi, martedì 13 settembre, a Collecchio in strada Nazionale Est, in corrispodenza della rotatoria della tangenziale.;1;1
125;Il conducente è stato scortato in Comando di via del Taglio.;1;1
126;L'uomo è stato centrato dal veicolo mentre stava attraversando vicino all'incrocio con via Zarotto Gravissimo ncidente stradale nella tarda mattinata di oggi, lunedì 12 settembre, in via Traversetolo a Parma.;1;1
127;L'uomo, che ha spaccato il vetro della sua auto per uscire ed è stato soccorso dall'ambulanza di Pontetaro, ha riportato traumi in varie parti del corpo e sospette fratture Non è ancora chiara la dinamica del grave incidente stradale avvenuto verso le ore 8.30 di oggi, venerdì 9 settembre, nei pressi dell'abitato di Parola, lungo la via Emilia tra Fidenza e Parma.;1;1
