articolo_id;articolo;localizzazione;tempo;grave;moto;utenti_deboli
66;Il primo incidente si è verificato alle ore 12 del 22 dicembre: un tragico scontro frontale tra due auto, che avrebbe poi coinvolto anche un terzo veicolo, ha provocato la morte dell'89enne Maria Teresa Bardini.;1;1;1;0;1
67;Le cause dell'incidente stradale sono in corso di ricostruzione.;0;0;0;0;0
68;Poche ore dopo, alle ore 21 del 22 dicembre, a Viazzano nel comune di Varano dè Melegari: un altro scontro frontale che ha provocato la morte di una donna, la 47enne Monica Supercari, di Pessola, frazione del comune di Varsi.;1;0;1;0;1
69;Sul posto le forze dell'ordine hanno effettuato gli accertamenti di legg per ricostruire l'episodio e charire la dinamica.;0;0;0;0;0
70;Il terzo incidente mortale si è verificato nella notte tra il 23 e il 24 dicembre, verso le ore 3 e mezza a Parola di Fontanellato: in questo caso tre auto si sono scontrate violentemente.;1;1;0;0;0
71;In seguito all'impatto una persona è rimasta ferita mentre altre due hanno riportato ferite gravissime e sono state trasportate nel reparto di Rianimazione dell'Ospedale Maggiore di Parma.;1;0;1;0;1
72;In questo caso i feriti sono stati cinque, di cui alcuni con traumi di media gravità e due molto gravi.;0;0;1;0;1
73;L'incidente si è verificato oggi pomeriggio.;0;0;0;0;0
74;Ferito un 60enne.;0;0;0;0;0
75;La strada è rimasta chiusa durante le attività di soccorso Incidente oggi pomeriggio sulla strada Pedemontana all'altezza di Bannone (frazione di Traversetolo).;1;1;0;0;0
76;Il conducente di un furgone ha perso il controllo e il mezzo si è ribaltato.;0;1;0;1;0
77;Il coduncente, 60 anni, è stato estratto dai vigili del fuoco comunque in buone condizioni.;0;0;0;0;0
78;Intervenuta l'automedica e l'ambulanza di Traversetolo.;0;0;0;0;0
79;L'uomo è stato trasportato al Pronto soccorso di Parma.;0;0;0;0;0
80;Sul posto anche i vigili urbani della Pedemontana.;1;0;0;0;0
81;La strada è rimasta chiusa durante le attività di soccorso.;0;0;0;0;0
82;L'incidente è avvenuto stanotte.;0;0;0;0;0
83;I tre feriti sono stati ricoverati in ospedale dopo l'intervento dei vigili del fuoco per estrarli dal mezzo Auto fuoi strada a Sant'Andrea di Busseto, stanotte intono all'1,30.;1;1;1;0;1
84;Attimi di paura per i tre occupanti del veicolo, rimasti incastrati all'interno dell'abitacolo.;0;0;0;0;0
85;Tutti hanno riportato ferite di media gravità, ricoverati all'ospedale di Vaio.;0;0;0;0;0
86;Sul posto l'ambulanza pubblica assistenza di Busseto, l'ambulanza della Croce Rossa di Fidenza, l'automedica di Fidenza e i vigili del fuoco, che hanno estratto i feriti dalla macchina.;1;0;1;0;1
87;S'indaga sulla dinamica: l'auto è finita in un fosso.;0;0;0;0;0
88;L'incidente è avvenuto alle ore 15: una delle auto è distrutta nella parte anteriore Grave incidente stradale alle ore 15 del 23 dicembre a Collecchio, nella zona di strada Mulattiere in corrispondenza dell'angolo con strada consortile.;1;1;0;1;1
89;Secondo le prime informazioni due auto si sono scontrate, per cause in corso di accertamento.;0;0;0;0;0
90;Sul posto sono arrivati l'ambulanza della Pubblica di Collecchio, l'automedica di Collecchio e l'ambulanza infermieristica di Pontetaro.;1;0;0;0;0
91;Sul posto anche gli agenti della polizia locale della Pedemontana, che hanno gestito il traffico in zona e effettuato i rilievi previsti per legge.;1;0;0;0;0
92;Due persone sono rimasta ferita ma fortunatamente hanno riportato solo ferite lievi.;0;0;1;0;0
93;L'incidente si è verificato poco prima delle ore 10 Un incidente stradale, che si è verificato prima delle ore 10 del 22 dicembre lungo l'autostrada A1 tra i caselli di Parma e Terre di Canossa ha provocato due chilometri di coda nel tratto interessato.;1;1;0;1;0
94;Fortunatamente ci sono stati solo feriti lievi.;0;0;0;0;0
95;Nel tratto dell'A1 e lungo l'A15 in mattinata si sono verificati alcuni rallentamenti a causa della nebbia.;1;0;0;0;0
96;L'incidente si è verificato dopo le ore 21 del 22 dicembre.;0;1;0;0;0
97;E' la seconda vittima della strada in otto ore: alle 13 Maria Teresa Bardini aveva perso la vita a causa di uno scontro frontale lungo la tangenziale di Collecchio Tragedia dopo le ore 21 di giovedì 22 dicembre a Varano dè Melegari, lungo la strada provinciale 28.;1;0;1;1;0
98;Per cause in corso di accertamento due auto si sono scontrate violentemente.;0;0;0;0;0
99;In conseguenza dell'impatto una persona è morta mentre un'altra è rimasta ferita ed ha riportato traumi di media gravità.;0;0;1;0;1
100;Sul posto sono arrivati i soccorritori del 118 e le forze dell'ordine.;0;0;0;0;0
101;Gli operatori sanitari non hanno potuto fare altro che constatare la morte del conducente di una delle due auto.;0;0;1;0;0
102;Sono in corso accertamenti sulla dinamica dell'incidente.;0;0;0;0;0
103;E' la seconda vittima della strada in otto ore: alle 13 del 22 dicembre l'80enneMaria Teresa Bardiniaveva perso la vita a causa di uno scontro frontale lungo la tangenziale di Collecchio.;1;0;1;0;1
104;L'incidente è avvenuto alle ore 17 tra i caselli di Parma e di Terre di Canossa: traffico in tilt anche lungo le tangenziali Incidente tra tre auto verso le ore 17 del 22 dicembre lungo l'autostrada A1, tra Parma e Terre di Canossa.;1;1;0;0;0
105;In seguito allo scontro ci sono stati alcuni feriti e si sono formati fino a 16 chilometri di coda.;0;0;0;0;0
106;Anche le tangenziali di Parma sono in tilt AUTOSTRADE - Poco prima delle ore 19:00, sull’autostrada A1 Milano-Napoli, è stato risolto un incidente precedentemente avvenuto nel tratto compreso tra Parma e Terre di Canossa-Campegine in direzione di Bologna, all’altezza del km 121.Attualmente, il traffico transita su tutte le corsie disponibili e si registrano 16 km di coda in direzione di Bologna.Agli utenti diretti verso Bologna si consiglia di immettersi sulla A15 Parma-La Spezia, uscire alla stazione di Parma ovest, percorrere la SS9 via Emilia e rientrare in A1 alla stazione di Terre di Canossa-Campegine.;1;1;0;0;0
107;Alle ore 17:00 circa, sull’autostrada a A1 Milano-Napoli è avvenuto un incidente nel tratto compreso tra Parma e Terre di Canossa-Campegine in direzione di Bologna, che ha visto coinvolte tre autovetture, all’altezza del km 121.;1;0;0;0;0
108;Sul luogo dell’evento sono intervenuti i Vigili del Fuoco, i soccorsi sanitari e meccanici, le pattuglie della Polizia Stradale ed il personale della Direzione 3° Tronco di Bologna.;1;0;0;0;0
109;Attualmente, il traffico transita su una corsia e si registrano 11 km di coda in direzione di Bologna.;0;0;0;0;0
110;L'incidente è avvenuto qualche minuto prima delle ore 13.;0;0;0;0;0
111;La vittima è Maria Teresa Bardini Tragico incidente stradale poco prima delle ore 13 del 22 dicembre lungo la tangenziale di Collecchio, in corrispondenza della rotonda per Madregolo.;1;0;1;0;0
112;Secondo le prime informazioni due auto si sarebbero scontrate frontalmente: l'impatto è stato particolarmente violento tanto che ha perso la vita uno dei conducenti.;1;0;1;0;0
113;Si tratta di una anziana di 80 anni.;0;0;0;0;0
114;La vittima è Maria Teresa Bardini, residente a Collecchio.;0;0;0;0;0
115;Due persone hanno riportato ferite di media gravità.;0;0;0;0;0
116;Sul posto le ambulanze e l'automedica del 118, oltre alla polizia stradale e alla Polizia Locale Pedemontana per i rilievi previsti per legge.;1;0;0;0;0
117;Le cause dell'incidente sono in corso di accertamento.;0;0;0;0;0
118;Intanto è stato chiuso il tratto di tangenziale interessato dal sinistro.;0;0;0;0;0
119;La testimonianza della donna che alle 7.30 del 20 dicembre è stata centrata dal mezzo dopo aver smontato dal turno di notte alla Città di Parma Nelle prime ore della mattinata del 20 dicembre un'infermiera di 33 anni, che lavora alla Città di Parma, è stata investita da un'auto nella zona di via Montebello a Parma, mentre stava attraversando sulle strisce pedonali che si trovano verso la pista pedonale del parco Bizzozzero.;1;1;1;0;0
120;In conseguenza dell'impatto ha riportato una grave frattura alla gamba ed ora si trova ricoverata all'Ospedale Maggiore.;0;0;1;0;0
121;"""Ieri intorno alle 7.30 - racconta la donna a Parmatoday - smontante dal turno notte presso la Casa di Cura Città di Parma mi accingevo, come sempre, a piedi (e non in bicicletta come uscito in un primo momento), a percorrere il tratto di strada dalla Clinica verso via Sant'Eurosia di Jaca.";1;0;0;0;1
122;Arrivata all'uscita della via, ho attraversato le prime strisce pedonali che si trovano sulla sinistra in direzione della pista pedonale del Parco Bizzozzero.;1;0;0;0;0
123;Lí è accaduto l'impatto con l'auto.;1;0;0;0;0
124;"Ora mi ritrovo ricoverata presso l'Ospedale Maggiore di Parma in attesa di intervento per una frattura scomposta di tibia e perone"".";0;0;1;0;0
125;L'incidente poco prima delle 9: sul posto l'ambulanza e la polizia locale Grave incidente nella mattinata di mercoledì 21 dicembre, poco prima delle ore 9.;1;1;1;1;0
126;Un pedone, che si trovava in borgo Padre Onorio Rosi, nella zona adiacente al Petitot, è stato investito da un'auto che stava sopraggiungendo proprio in quel momento.;1;0;0;0;1
127;Secondo le prime informazioni la persona ferita non avrebbe fortunatamente riportato ferite gravi.;0;0;0;0;0
128;Sul posto l'ambulanza del 118 che ha prestato le prime cure al ferito: il personale sanitario si è accertato delle condizioni del pedone, urtato dall'auto.;1;0;1;0;1
129;Sul posto anche la polizia locale che ha effettuato i rilievi previsti per legge e gestito il traffico in zona.;1;0;0;0;0
130;L'incidente si è verificato in località La Rampa, lungo la provinciale per Medesano Grave incidente poco prima delle ore 23 di martedì 20 dicembre in località La Rampa a Noceto, lungo la provinciale per Medesano.;1;0;1;1;0
131;Per cause in corso di accertamento il conducente di un'auto ha perso il controllo del mezzo, che è finito fuori strada.;0;0;0;0;0
132;In conseguenza dello schianto le quattro persone che si trovavano all'interno dell'auto sono rimaste ferite: in particolare tre in modo grave e una in modo lieve.;1;0;1;0;1
133;Uno dei tre feriti seri ha riportato feriti particolarmente gravi mentre gli altri due non sarebbero in pericolo di vita.;0;0;1;0;1
134;I soccorritori del 118 sono arrivati sul posto in pochi minuti - con tre ambulanze e due automediche - e dopo aver prestato le prime cure hanno trasportato i feriti al pronto soccorso dell'Ospedale Maggiore.;1;0;1;0;1
135;Sul posto anche le forze dell'ordine che hanno effettuato i rilievi previsti per legge.;0;0;0;0;0
136;L'incidente oggi pomeriggio all'altezza del Centro Torri Paura per un pedone investito da un'auto oggi pomeriggio intono alle 17 in via San Leonardo, all'altezza del Centro Torri.;1;1;0;0;1
137;Per cause in corso di accertamento l'auto avrebbe centrato un 75enne.;0;0;0;0;0
138;Sul posto sono intervenuti i sanitari del 118 con un'ambulanza per prestare le cure del caso all'uomo, rimasto ferito dopo essere finito sull'asfalto.;1;0;1;0;1
139;Trasportato in ospedale, le sue condizioni sono state valutate di media gravità.;0;0;1;0;0
140;Adesso si cercherà di capire la dinamica dell'incidente.;0;0;0;0;0
141;Incidenti alle 7.30 e alle 8.20 in via Montebello e in viale Piacenza Due ciclisti sono rimasti feriti nella mattinata di martedì 20 dicembre in meno di un'ora.;1;1;1;0;1
142;Uno dei due, un uomo, è stato trasportato in condizioni critiche al pronto soccorso dell'Ospedale Maggiore di Parma.;0;0;1;0;0
143;Il primo incidente si è verificato alle ore 7.30 in via Montebello: secondo le prime informazioni una donna, alla guida di una bicicletta, si sarebbe scontrata con un auto.;1;1;0;0;1
144;Ad avere la peggio la ciclista, che è stata soccorsa dai sanitari del 118 e trasportata d'urgenza in ospedale.;1;0;1;0;1
145;Alle 8.20 in viale Piacenza un ciclista è stato investito da un'auto mentre stava percorrendo la strada.;1;1;0;0;0
146;La dinamica dello scontro è in corso di ricostruzione.;0;1;0;0;0
147;L'uomo avrebbe riportato gravi ferite in varie parti del corpo: dopo l'intervento dei sanitari del 118 con l'ambulanza e l'automedica il ciclista è stato trasportato d'urgenza al pronto soccorso dell'Ospedale Maggiore.;1;0;1;0;1
148;Le sue condizioni sono giudicate dai medici come particolarmente gravi.;0;0;1;0;0
149;La conducente ha riportato ferite in varie parti del corpo ma non sarebbe in pericolo di vita Momenti di paura nella mattinata di lunedì 19 dicembre a Bannone di Traversetolo.;0;1;1;0;0
150;Per cause in corso di accertamento, poco dopo le ore 10, un'auto guidata da una donna è finita fuori strada, mentre stava percorrendo via Vecchia di Sala.;1;1;0;0;0
151;Secondo le prime informazioni la conducente avrebbe perso il controllo del veicolo, che si sarebbe poi ribaltato al lato della strada.;1;1;1;1;0
152;Sul posto, oltre agli operatori della Pubblica Assistenza di Langhirano con l'ambulanza e l'automedica, anche gli agenti della polizia locale che hanno effettuato i rilievi previsti per legge.;1;0;0;0;1
153;La donna è stata trasportata d'urgenza al pronto soccorso dell'Ospedale Maggiore di Parma.;0;0;1;0;0
154;Avrebbe riportato traumi in varie parti del corpo ma non sarebbe in pericolo di vita.;0;0;1;0;0
155;L'incidente è avvenuto poco prima delle ore 10: la strada è stata chiusa per consentire le operazioni di soccorso e i rilievi Grave incidente stradale nella mattinata di lunedì 19 dicembre in strada Baganzola a Parma, tra viale delle Esposizioni e strada Parma Rotta.;1;1;0;1;0
156;Secondo le prime informazioni poco prima delle ore 10, per cause in corso di accertamento, due auto si sono scontrate violentemente.;0;0;0;0;0
157;In seguito all'impatto un uomo è rimasto incastrato all'interno dell'abitacolo della sua auto.;0;0;1;0;0
158;Sul posto sono arrivati i soccorritori del 118 con l'automedica e l'ambulanza, oltre agli operatori dei vigili del fuoco, che hanno lavoratoro per estrarre il ferito dall'auto.;1;0;1;1;1
159;L'uomo, un 61enne, è stato poi trasportato d'urgenza al pronto soccorso dell'Ospedale Maggiore di Parma, dove si trova ricoverato in condizioni di media gravità.;1;0;1;0;1
160;Secondo i primi accertamenti medici non sarebbe in pericolo di vita.;0;0;1;0;0
161;Sul posto anche gli agenti della polizia locale che hanno effettuato i rilievi previsti per legge e gestito il traffico in zona.;1;0;0;0;0
162;Strada Baganzola è stata chiusa per consentire le operazioni di soccorso e i rilievi.;1;0;0;0;0
163;Carabinieri e Polizia Locale per evitare le stragi gli incidenti stradali Nella notte tra il 16 e 17 dicembre, i Carabinieri della Stazione di Sorbolo Mezzani, unitamente al personale della Polizia Locale, sono stati impegnati in un servizio straordinario di controllo del territorio al fine di prevenire le cosiddette “stragi del sabato sera”.;1;1;0;0;0
164;I posti di controllo sono stati effettuati nei punti più sensibili della circolazione stradale ed in corrispondenza dei locali della movida, con l’ausilio del personale della Polizia Locale ed etilometro.;1;0;0;0;0
165;Al termine del servizio sono stati tre gli automobilisti deferiti all’Autorità Giudiziaria per guida in stato d’ebbrezza ed oltre sette quelli sanzionati amministrativamente.;0;0;0;0;0
166;In totale 9 le patenti di guida ritirate con l’irrogazione di sanzioni amministrative fino ad 6.678 euro ed ammende fino a 9.200 euro.;0;0;0;0;0
167;I controlli congiunti tra Carabinieri della stazione di Sorbolo Mezzani e la Polizia Locale dell’Unione Bassa Est Parmense, finalizzati a garantire maggiori standard di sicurezza sulle strade cittadine, soprattutto nel periodo delle festività natalizie e di fine anno, proseguiranno nei prossimi fine settimana.;1;0;0;0;0
168;L'incidente è avvenuto nella zona di via Europa: in quel momento stava piovendo e l'asfalto era bagnato Paura nella serata di giovedì 15 dicembre in via Bettoli a Parma, nella zona di via Europa.;1;1;0;1;0
169;Un rider, che stava effettuando alcune consegne, è stato investito da un'auto poco dopo le ore 20.;0;1;0;1;0
170;Secondo le prime informazioni il lavoratore, che si trovava a bordo della sua bicicletta, sarebbe stato urtato dal veicolo e sarebbe poi finito a terra, riportando ferite in varie parti del corpo.;1;0;1;1;1
171;Fortunatamente, dopo i primi momenti di paura, è stato accertato che le sue condizioni di salute erano buone: è stato portato al pronto soccorso dell'Ospedale Maggiore per accertamenti ma non è in pericolo di vita.;0;0;1;0;0
172;Al momento dell'incidente l'asfalto era bagnato e stava piovendo: anche le condizioni meteo potrebbero aver influito.;1;0;0;1;0
173;L'incidente è avvenuto all'altezza del chilometro 92 Nord Un grave incidente stradale, che ha coinvolto due auto, si è verificato nella notte tra lunedì 12 e martedì 13 dicembre lungo l'autostrada A1, all'altezza del chilometro 92 in direzione Nord.;1;1;1;1;1
174;Secondo le prime informazioni due auto sarebbero venute a contatto, per cause in corso di accertamento.;0;0;0;0;0
175;Due persone sarebbero rimaste ferite in conseguenza dello scontro.;0;0;1;0;0
